,*g_LK,*g_h,*ALN*tauA,*ALN*b,*ALN*EXC*noise*mu,*ALN*INH*noise*mu,*ALNNode*noise*sigma,*TCR*noise*sigma,thal_aln,aln_thal,score,id,gen,f0,f1,f2
23595,0.0307949313930172,0.0677361102606506,1998.5024932634776,4.250384426204648,0.6701394221619855,0.6384473675685414,0.0815547428033666,0.0055528226909206,0.171942151151394,1.3420418323243024,0.0399749477353533,23907,36,0.961396633902484,4.0,0.2073589534821196
23598,0.0322684133347981,0.069506173994134,1845.931024897463,2.6256919078087577,0.6801963191991406,1.1702431057883587,0.0388902000643733,0.0072218848293105,0.1868122933883148,0.7014336222377235,-0.1528933441074856,23910,36,0.9565196662283896,7.0,0.0759984927542318
23602,0.0313013140653536,0.0680879894812768,1991.8597590394304,1.0452643125348238,0.676099056295864,0.9640405555010576,0.0668207092469574,0.0048096253803549,0.172906685347373,2.065264353648291,-0.1306728060934917,23914,36,0.9646806222361968,6.000000000000001,0.7834952025833603
23603,0.0318851094434585,0.0679190796430903,1715.9191098800154,1.009570378084402,0.6749496679275088,1.1444729680386334,0.1491463419727617,0.0032756370802757,0.1262517947294795,3.1879729103805112,-0.2486897176845262,23915,36,0.9638291015530402,8.0,0.549491273033095
23626,0.0268178537401136,0.0677206236406756,1959.6410799171765,1.4057011678795317,0.6661372953163721,0.8212621636085405,0.1354015743294614,0.0166967783752708,0.0332786415650948,3.655553674225255,-0.2178951640234213,23941,37,0.9803004037376954,8.0,0.1699294790397973
23630,0.0283998745227451,0.067527298560897,1978.8455774425463,1.050241652876672,0.6653405527682862,1.1732936572872494,0.1351778649093657,0.0042579046581531,0.147496835406237,1.0008718069148668,-0.2185109948933267,23945,37,0.9685788904674654,8.0,0.1205593757372267
23634,0.0307890348080322,0.0681805699444882,1923.977609150312,1.532739720614312,0.6874149640163091,0.9663668885047526,0.0276290344865109,0.0061226112529721,0.188669976112968,2.146247986021029,-0.0492226227540654,23949,37,0.9714291840938852,5.0,0.5954852617804076
23637,0.0322215157273074,0.0681621423649741,1985.080653221444,2.782258073712314,0.7046957204115885,0.86703912288643,0.0751894903383876,0.0033119413271408,0.1149224344657305,0.0026516447974074,-0.2155291501807712,23952,37,0.9912115614501134,8.0,0.1889950599621355
23642,0.0285254005054725,0.0692185208344558,1531.8543224857592,1.077133082064579,0.6868174601993381,0.9064638933258233,0.0517824203972123,0.0087497152513121,0.1109085743780586,2.6278395971088315,-0.1471667759274651,23957,37,0.9804897776967116,7.0,0.1099505273955334
23654,0.028218609971427,0.0672856878455446,1994.963704886685,1.0222043636898115,0.7009696915242397,0.9794868179492889,0.1384804343760814,0.0089054697626347,0.1408311263577976,0.5940867524818002,-0.1454958682098197,23969,37,0.9677170969128568,7.0,0.0210235077115799
23667,0.0302463206185523,0.0694642399977895,1795.1440819139318,1.2157358635649942,0.7027465459574497,1.0398197367188167,0.0840431767580667,0.0092109603165397,0.1487484480318536,0.0770754638528052,-0.2085584721471932,23982,37,0.9756574076613556,8.0,0.0066641205146766
23668,0.0310279287471068,0.0625648599554907,1989.4116129341023,1.0557889687795954,0.6402809151303344,0.7625465445650912,0.1765391491793912,0.008899353805508,0.0290107999095405,4.30650214859649,-0.2443223825700166,23983,37,0.9707505691178976,8.0,0.5185885841397369
23672,0.0303469981012205,0.0663091462145159,1987.009552926172,1.5350991674222705,0.7029523944983028,0.6851996337895238,0.2452844035992647,0.0082255753890177,0.0033923152689045,1.1769524572416086,-0.2392656475897984,23987,37,0.951344176970186,8.0,0.3457055986979069
23674,0.0288421294257088,0.0680526829956231,1853.8285325497943,1.9282238805992529,0.6979914096781655,0.8687588596891567,0.0644515153605125,0.0072461893041117,0.1551917854070438,0.1632845979707887,-0.2119770275433655,23989,37,0.9715309517792668,8.0,0.0373101720468174
23675,0.0290907317511633,0.0647799876304195,1966.0767894520245,1.0840556088785598,0.6866845483463123,0.8616841389134965,0.0482968858774062,0.0068527904228359,0.1111529851460845,0.346744878836147,-0.2209882424038297,23990,37,0.9536552363372728,8.0,0.0830998177438084
23694,0.0277320347597326,0.0611182999978648,1940.6335045385265,5.742718209481135,0.7217967488690565,1.126479198019174,0.0126725851843391,0.0073975046178635,0.0325711793436447,3.973297965993449,-0.2283718336358552,24009,37,0.9798132097254426,8.0,0.3246435531650404
23698,0.0272398330331312,0.0671839265116206,1792.359806400107,5.762728386479935,0.693067799375669,0.7882883318747754,0.0151534766664659,0.0065998946212882,0.0345547929952144,4.236839933233456,-0.2131232059498172,24013,37,0.9891793244570176,8.0,0.1427447115323454
23707,0.0294771492348229,0.0681950667434374,1991.4317708628687,1.8744345042184247,0.687479404966153,1.042082506914029,0.0506336231840957,0.0073756317931054,0.1407045342122767,0.6936462589732952,-0.2077170613759429,24022,37,0.98975525811906,8.0,0.064532211234443
23712,0.0291429763124686,0.0635477404025737,1732.920747130879,1.0997178619908905,0.6865512341963219,1.1726238436564849,0.1363493298593018,0.0015203204129882,0.1662209818532284,2.2044772244523174,-0.0959582980285805,24027,37,0.9603147066750924,6.000000000000001,0.2409480038041689
23715,0.0320217487368329,0.0612840444517055,1882.6057974897813,2.380894399809013,0.6772937836905486,0.8505331761263589,0.0628761850934897,0.0033351944298259,0.0367729455755444,1.400487101555529,-0.2269318620754533,24030,37,0.97309465761062,8.0,0.2694512191849001
23718,0.030866775771192,0.0674996285307715,1948.3844973003647,1.260156587999583,0.6959371013452711,0.8896625749964906,0.1109670639055794,0.0078457717413851,0.1422724387019696,0.0993181662819295,-0.158795785725491,24033,37,0.9569836003385512,7.0,0.1668547875751209
23720,0.030985813185288,0.0698318017400875,1809.374324593949,1.5113687544313488,0.6913081419768856,0.8054240600076058,0.0838651839712496,0.0029726773073628,0.1646078843085328,0.259272798812949,-0.025399060837474,24035,37,0.9754676169203818,5.0,0.2583239971640196
23722,0.030639686362898,0.0692098075328748,1980.1251723424075,1.0965728724473898,0.6929086225945,1.0627536347056208,0.0763436949604044,0.0047098050140191,0.1743217496891725,4.266286142847125,-0.2385886987315577,24037,37,0.9828322518467428,8.0,0.4929917402070796
23724,0.0278675891039709,0.0679093280911403,1864.5393750326211,1.3033051062684304,0.689796289156954,0.8919095403176855,0.1045860290864633,0.0062693282620281,0.1596405114160667,2.915033335013745,-0.2048188134441174,24039,37,0.9877585003721228,8.0,0.0110747035223748
23727,0.026818592356869,0.0690933465622657,1790.7713760705924,1.0039732848228753,0.6781616392480002,0.7512539819760089,0.044801083307887,0.009092609291174,0.1713520943045827,2.5662117106342666,-0.0291499038336392,24042,37,0.9817950211183442,5.0,0.3462236630963096
23731,0.0273501192617935,0.062466883060739,1987.2318845843088,1.0536827353910674,0.6915563675112819,1.011875285396481,0.1190730192881736,0.0053671201298394,0.1343721079616154,1.727561663990164,-0.1472962782191965,24046,37,0.9694608867641468,7.0,0.0567486071086813
23736,0.0289850051441129,0.0667171652461666,1754.2162289304792,1.0473674295916409,0.6788740665153454,1.15603484524788,0.0817969129346494,0.0061643929947682,0.1699406305011353,1.5400151288254815,-0.1705308105864047,24051,37,0.9879625184763432,7.0,0.4977747511777868
23738,0.0275310192465144,0.0687454868467444,1980.29924926047,1.0662085045917788,0.691631863149539,0.9754947568604335,0.0565640590317847,0.0106914338134257,0.1710204689110437,1.9551591908032344,-0.2229399253056862,24053,37,0.990395910453992,8.0,0.2960784318552525
23739,0.0280103133092079,0.0639441121117329,1926.5864403853504,3.8669843615154535,0.664756088975678,0.8004665918717571,0.0242020905267031,0.0057666358665163,0.1279556020750581,1.4513002787419025,-0.2304301979292048,24054,37,0.9507465582755732,8.0,0.2101857603159382
23745,0.0284795860478068,0.0691098065413345,1788.6921167926023,1.3430757554105472,0.6874779593119033,0.6695050017968837,0.0570780686785615,0.0077327120545606,0.1535008511838804,0.0357850647475039,-0.1212889756255293,24060,37,0.9778450448103256,6.000000000000001,0.7085598584345676
23746,0.0280971021155049,0.0688137796384428,1875.5779172383525,1.8744345042184247,0.6886302562556572,0.7208588946390463,0.0830419461279583,0.0100059025886529,0.1281713030043638,0.6832463706967038,-0.1535796011872627,24061,37,0.9765154741753668,7.0,0.1862713886857738
23755,0.0302982805203351,0.0650712440699204,1373.205246686793,2.545069387674032,0.7190114910146386,0.7383147572819742,0.2892672082153008,0.0034594346713689,0.000140053383703,2.924767052277362,-0.2262126541332455,24070,37,0.9628447304095242,8.0,0.207413464046303
23775,0.0315166329281138,0.0678021413299452,1999.7149054862336,1.0452643125348238,0.676099056295864,0.9640405555010576,0.0881737184233336,0.0048096253803549,0.1473788100843835,2.332053595779891,-0.2289976863452826,24090,37,0.964448565886882,8.0,0.257208124613649
23778,0.0274120452819783,0.0687376161459266,1999.7395135050992,1.7786321126447109,0.6966694034719931,1.1932096367569471,0.0822473399148214,0.0076262539543278,0.1706519909859077,1.9908150647908596,-0.1513858119844137,24093,37,0.990679837944852,7.0,0.2241863694904653
23789,0.0324352700800283,0.0690260747010547,1621.3098184667317,1.107752702292717,0.6639202977822017,1.0626043873130289,0.0732029280222884,0.005116971959051,0.172906685347373,0.2647704200161093,-0.1448588632408409,24104,37,0.9800356338049296,7.0,0.0730611176372608
23798,0.0288434773528548,0.0692185208344558,1531.8543224857592,1.034438988646008,0.7113039892158667,1.0043721554184044,0.0435371674141615,0.0091809734812225,0.1979208974999845,1.4818154212971175,0.0332762824952121,24113,37,0.966069047654571,4.0,0.3312010008446728
23811,0.0314401285239179,0.0696635515077479,1999.7977939068885,1.0621555618053091,0.6865966825110481,1.1030108326276356,0.0875902044712863,0.0055595057920939,0.1870905640030798,1.704499195503471,-0.2221371913984322,24126,37,0.9729633725951616,8.0,0.1968747339522907
23818,0.0287410411144189,0.0615957863376929,1681.998025149567,2.4484163654102056,0.6898329247045087,1.1958494199989667,0.1409799565682887,0.0119107031988618,0.032922381190572,1.521783305045667,-0.2181630588903217,24133,37,0.9732531238851228,8.0,0.1387115027804402
